Name, Population, Area, Density

South Africa, 59308690, 1213090, 48.89,
Madagascar, 27691018, 581795, 47.6,
Montenegro, 628066, 13450, 46.7,
Belarus, 9449323, 202910, 46.57,
Colombia, 50882891, 1109500, 45.86,
Lithuania, 2722289, 62674, 43.44,
Djibouti, 988000, 23180, 42.62,
Mozambique, 31255435, 786380, 39.75,
Democratic Republic of the Congo, 89561403, 2267050, 39.51,
Palau, 18094, 460, 39.33,
Bahamas, 393244, 10010, 39.29,
Zimbabwe, 14862924, 386850, 38.42,
United States of America, 331002651, 9147420, 36.19,
Eritrea, 3546421, 101000, 35.11,
Kyrgyzstan, 6524195, 191800, 34.02,
Venezuela, 28435940, 882050, 32.24,
Laos, 7275560, 230800, 31.52,
Estonia, 1326535, 42390, 31.29,
Latvia, 1886198, 62200, 30.32,
Angola, 32866272, 1246700, 26.36,
Peru, 32971854, 1280000, 25.76,
Chile, 19116201, 743532, 25.71,
Brazil, 212559417, 8358140, 25.43,
Somalia, 15893222, 627340, 25.33,
Vanuatu, 307145, 12190, 25.2,
Sudan, 43849260, 1765048, 24.84,
Zambia, 18383955, 743390, 24.73,
Sweden, 10099265, 410340, 24.61,
Solomon Islands, 686884, 27990, 24.54,
Bhutan, 771608, 38117, 20.24,
Uruguay, 3473730, 175020, 19.85,
Papua New Guinea, 8947024, 452860, 19.76,
Niger, 24206644, 1266700, 19.11,
Algeria, 43851044, 2381740, 18.41,
South Sudan, 11193725, 610952, 18.32,
New Zealand, 4822233, 263310, 18.31,
Finland, 5540720, 303890, 18.23,
Paraguay, 7132538, 397300, 17.95,
Belize, 397628, 22810, 17.43,
Mali, 20250833, 1220190, 16.6,
Argentina, 45195774, 2736690, 16.51,
Oman, 5106626, 309500, 16.5,
Saudi Arabia, 34813871, 2149690, 16.19,
Congo (Congo-Brazzaville), 5518087, 341500, 16.16,
Norway, 5421241, 365268, 14.84,
Chad, 16425864, 1259200, 13.04,
Turkmenistan, 6031200, 469930, 12.83,
Bolivia, 11673021, 1083300, 10.78,
Russia, 145934462, 17098246, 8.54,
Central African Republic, 4829767, 622980, 7.75,
Botswana, 2351627, 566730, 4.15,
Canada, 37742154, 9093510, 4.15,
Australia, 25499884, 7682300, 3.32,
Côte d'Ivoire, 26378274, undefined, 0,
Cabo Verde, 555987, undefined, 0,
Holy See, 801, 0, 0,
, NaN, undefined, 0
